sampleid	Candida_glabrata	Candida_tropicalis	Debaryomyces_hansenii	Schizophyllum_commune	Saccharomyces_cerevisiae	Fusarium_oxysporum	Pyrenophora_tritici-repentis	Malassezia_globosa	Candida_albicans	Torulaspora_delbrueckii	Stereum_hirsutum	Coniosporium_apollinis	Trichosporon_asahii	Agaricus_bisporus	Candida_orthopsilosis	Malassezia_sympodialis	Cyphellophora_europaea	Wallemia_ichthyophaga	Pseudozyma_hubeiensis	Bipolaris_zeicola	Aureobasidium_namibiae	Aureobasidium_pullulans	Penicillium_expansum	Rhodotorula_graminis	Pneumocystis_jirovecii	Alternaria_alternata	Wickerhamomyces_anomalus	Hyphopichia_burtonii	Cyberlindnera_jadinii	Tilletiopsis_washingtonensis	Malassezia_restricta	Byssochlamys_spectabilis	Sporisorium_graminicola	Ramularia_collo-cygni
13722.58cfa831e4b0c9d6adf6c5dc	0	0	0	0	2	0	0	26445	0	0	0	0	6	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	22
13722.58cfa831e4b0c9d6adf6c670	0	0	0	0	0	0	0	14459	1	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	3
13722.58cfa831e4b0c9d6adf6c65d	0	0	0	0	6	0	0	20827	1	0	0	0	39	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	107
13722.58cfa831e4b0c9d6adf6c5ed	249	0	0	0	0	0	0	5869	61	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
13722.58cfa831e4b0c9d6adf6c61d	0	0	0	0	2	0	0	18492	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	28
13722.58cfa831e4b0c9d6adf6c63c	0	0	0	0	0	0	0	22579	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	37
13722.58cfa831e4b0c9d6adf6c6de	0	0	0	0	0	0	0	24647	1	0	0	0	52	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	1	155
13722.58cfa831e4b0c9d6adf6c671	0	0	0	0	0	0	0	20068	0	0	5	0	12	6	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	6	1	0	28
13722.58cfa831e4b0c9d6adf6c6e7	0	0	0	0	0	0	0	19794	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	9
13722.58cfa831e4b0c9d6adf6c6e2	0	0	0	0	0	0	0	28691	0	0	0	0	8	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	28
