G000002515	G000002545	G000003855	G000006335	G000006445	G000026945	G000091025	G000146045	G000149425	G000149645	G000149955	G000181695	G000182965	G000185945	G000226395	G000243375	G000300575	G000315645	G000349305	G000721785	G000769745	G001298625	G001417885	G001642055	G001661405	G002079055	G002775015	G003290485	G004154835	G004353045	G900007375
0	0	1	0	0	0	0	2	0	0	0	32225	10	0	0	0	0	1	2	0	0	0	0	0	2	0	1	16	0	0	0
0	0	0	0	0	0	0	2	0	0	0	17729	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	4	1	1	0
0	0	3	0	0	0	0	0	0	0	2	18275	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	2	2	0	0
0	0	0	0	0	0	0	0	0	0	0	4675	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	4	0	0	0	13489	4	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	6	0	0	0	0	0	0	0	0	23602	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	12820	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	2	0	0	0
0	0	0	0	0	0	0	0	0	0	0	4502	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
0	0	1	0	0	0	0	0	0	0	0	18350	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3	3	3	0
0	0	1	0	0	0	0	0	0	0	0	15434	19	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
0	1	0	0	0	0	0	0	0	0	0	20590	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	1	0	0	0	0	0	0	0	0	24242	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	2	2	1	0
0	0	0	0	0	0	0	2	0	0	0	11295	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	1
0	0	7	0	0	0	0	0	0	0	0	20723	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0
0	0	1	0	0	0	0	0	0	0	0	15304	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	3	1	0	0
0	0	0	0	0	0	0	1	0	0	0	26925	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0
0	0	1	0	0	0	0	2	0	0	0	15273	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	2	0	0	0	22310	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	14004	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	26072	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0
0	0	0	0	0	0	0	0	0	0	0	13001	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
0	0	0	0	0	0	0	2	0	0	0	33549	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0
0	0	0	0	0	0	0	0	0	0	0	6391	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	28029	0	0	0	0	2	6	0	0	0	0	0	0	0	0	0	4	0	0	0
0	0	0	0	0	0	0	0	0	0	0	4047	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0
0	0	0	0	0	0	0	0	0	0	0	21601	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0
0	0	0	0	0	0	0	0	0	0	0	19982	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	11	0	0	0
0	0	0	0	0	0	0	0	0	0	0	21978	1	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	7367	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0
0	0	0	0	0	0	0	0	0	0	0	4002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	2946	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	17529	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
0	0	0	0	0	0	0	0	0	0	0	25900	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0
